,Mol_ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard_Type,Standard Relation,standard_value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target_Name,Target Organism,Target Type,Document_ID,Source ID,Source_Description,Document_Journal,Document_Year,Cell ChEMBL ID,Properties,Action Type
3,CHEMBL3342335,,None,398.42,0,0.98,5,Cc1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccccc3)c2)[nH]c1=O,IC50,'=',15.0,nM,7.82,,,UO_0000065,,,,,0,CHEMBL3382999,Cytotoxicity against human HT-29 cells after 48 hrs by XTT/PMS assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL3352421,1,Scientific Literature,ACS Med Chem Lett,2014.0,CHEMBL3307768,,
4,CHEMBL3342336,,None,348.36,0,1.76,9,CC(=O)N1CC(=O)N/C(=C\c2cccc(C(=O)c3ccccc3)c2)C1=O,IC50,'=',8800.0,nM,5.06,,,UO_0000065,,,,,0,CHEMBL3382999,Cytotoxicity against human HT-29 cells after 48 hrs by XTT/PMS assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL3352421,1,Scientific Literature,ACS Med Chem Lett,2014.0,CHEMBL3307768,,
5,CHEMBL1868039,,None,350.37,0,0.74,4v,COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2ccccc2OC)[nH]c1=O,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294669,Cytotoxicity against human HL60 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HL-60,None,,,,CHEMBL383,HL-60,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307654,,
6,CHEMBL3289268,,None,420.47,0,1.41,4b,C=CCn1c(=O)/c(=C\c2cc(OC)c(OC)c(OC)c2)[nH]c(=O)/c1=C\c1ccccc1,IC50,,,,,,Not Active,,,,,,0,CHEMBL3294671,Cytotoxicity against human MOLT4 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MOLT-4,None,,,,CHEMBL614177,MOLT-4,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3307557,,
7,CHEMBL2031713,,None,325.41,0,2.22,13b,CC(C)=CCc1[nH]c2ccccc2c1C[C@H]1NC(=O)[C@H](C)NC1=O,IC50,'=',86200.0,nM,4.06,,,UO_0000065,,,,,0,CHEMBL2032598,Cytotoxicity against human cisplatin sensitive A2780 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,A2780,None,,,,CHEMBL614004,A2780,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308421,,
8,CHEMBL2031709,,None,401.51,0,3.45,6b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC1=O,IC50,'=',70400.0,nM,4.15,,,UO_0000065,,,,,0,CHEMBL2032597,Cytotoxicity against human K562 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308378,,
9,CHEMBL2031714,,None,391.48,0,2.17,14b,CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,IC50,'=',32200.0,nM,4.49,,,UO_0000065,,,,,0,CHEMBL2032597,Cytotoxicity against human K562 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,K562,None,,,,CHEMBL385,K562,Homo sapiens,CELL-LINE,CHEMBL2029224,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3308378,,
10,CHEMBL3289277,,None,428.41,0,2.41,4k,C=CCn1c(=O)/c(=C\c2ccccc2C(F)(F)F)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',6500.0,nM,5.19,,,UO_0000065,,,,,0,CHEMBL3294667,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308403,,
11,CHEMBL3289278,,None,390.44,0,1.4,4l,C=CCn1c(=O)/c(=C\c2ccccc2OC)[nH]c(=O)/c1=C\c1ccccc1OC,IC50,'=',41100.0,nM,4.39,,,UO_0000065,,,,,0,CHEMBL3294667,Cytotoxicity against human MCF7 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF7,None,,,,CHEMBL387,MCF7,Homo sapiens,CELL-LINE,CHEMBL3286120,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308403,,
14,CHEMBL2024102,,None,366.42,0,0.75,17,COc1ccccc1/C=c1\[nH]c(=O)/c(=C/c2nc[nH]c2C(C)(C)C)[nH]c1=O,IC50,'=',75.5,nM,7.12,,,UO_0000065,,,,,0,CHEMBL2026543,Cytotoxicity against human HT-29 cells after 48 hrs using resazurin by microplate fluorometer analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HT-29,None,,,,CHEMBL384,HT-29,Homo sapiens,CELL-LINE,CHEMBL2021797,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3307768,,
