"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL2048720";"";"None";"458.49";"0";"2.11";"16j";"CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccc(F)cc3)c2)[nH]c1=O";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL2051665";"Antimitotic activity in human HeLa cells assessed as disruption of interphase microtubule network at 10 nM after 6 hrs by DAPI staining-based immunofluorescence analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL399";"HeLa";"Homo sapiens";"CELL-LINE";"CHEMBL2046436";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"CHEMBL3308376";"";""
"CHEMBL3417739";"";"None";"325.41";"0";"2.15";"27";"CC(C)=CCn1cc(C[C@@H]2NC(=O)[C@H](C)NC2=O)c2ccccc21";"CC50";"'>'";"200000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3417979";"Cytotoxicity against MDCK cells assessed as cell growth after 40 hrs by CellTiter-Glo assay";"A";"BAO_0000219";"cell-based format";"Canis lupus familiaris";"None";"None";"MDCK";"None";"";"";"";"CHEMBL614068";"MDCK";"Canis lupus familiaris";"CELL-LINE";"CHEMBL3414446";"1";"Scientific Literature";"Eur J Med Chem";"2015";"CHEMBL3308370";"";""
"CHEMBL3342339";"";"None";"395.42";"0";"1.35";"6b, KPU-300";"O=C(c1ccccc1)c1cccc(/C=c2\[nH]c(=O)/c(=C/c3ccccn3)[nH]c2=O)c1";"Ratio IC50";"'='";"10.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL3383009";"Selectivity index, ratio of IC50 for human PMNC cells to IC50 for human HT-29 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3307768";"";""
"CHEMBL3342335";"";"None";"398.42";"0";"0.98";"5";"Cc1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccccc3)c2)[nH]c1=O";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3382999";"Cytotoxicity against human HT-29 cells after 48 hrs by XTT/PMS assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3307768";"";""
"CHEMBL3342336";"";"None";"348.36";"0";"1.76";"9";"CC(=O)N1CC(=O)N/C(=C\c2cccc(C(=O)c3ccccc3)c2)C1=O";"IC50";"'='";"8800.0";"nM";"5.06";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3382999";"Cytotoxicity against human HT-29 cells after 48 hrs by XTT/PMS assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HT-29";"None";"";"";"";"CHEMBL384";"HT-29";"Homo sapiens";"CELL-LINE";"CHEMBL3352421";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"CHEMBL3307768";"";""
"CHEMBL1868039";"";"None";"350.37";"0";"0.74";"4v";"COc1ccccc1/C=c1/[nH]c(=O)/c(=C\c2ccccc2OC)[nH]c1=O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294669";"Cytotoxicity against human HL60 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL383";"HL-60";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307654";"";""
"CHEMBL3289268";"";"None";"420.47";"0";"1.41";"4b";"C=CCn1c(=O)/c(=C\c2cc(OC)c(OC)c(OC)c2)[nH]c(=O)/c1=C\c1ccccc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL3294671";"Cytotoxicity against human MOLT4 cells assessed as reduction in cell viability after 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MOLT-4";"None";"";"";"";"CHEMBL614177";"MOLT-4";"Homo sapiens";"CELL-LINE";"CHEMBL3286120";"1";"Scientific Literature";"Eur J Med Chem";"2014";"CHEMBL3307557";"";""
"CHEMBL2031713";"";"None";"325.41";"0";"2.22";"13b";"CC(C)=CCc1[nH]c2ccccc2c1C[C@H]1NC(=O)[C@H](C)NC1=O";"IC50";"'='";"86200.0";"nM";"4.06";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2032598";"Cytotoxicity against human cisplatin sensitive A2780 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A2780";"None";"";"";"";"CHEMBL614004";"A2780";"Homo sapiens";"CELL-LINE";"CHEMBL2029224";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308421";"";""
"CHEMBL2031709";"";"None";"401.51";"0";"3.45";"6b";"CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC1=O";"IC50";"'='";"70400.0";"nM";"4.15";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2032597";"Cytotoxicity against human K562 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL2029224";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308378";"";""
"CHEMBL2031714";"";"None";"391.48";"0";"2.17";"14b";"CC(C)=CCc1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@H](Cc2c[nH]cn2)NC1=O";"IC50";"'='";"32200.0";"nM";"4.49";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2032597";"Cytotoxicity against human K562 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"K562";"None";"";"";"";"CHEMBL385";"K562";"Homo sapiens";"CELL-LINE";"CHEMBL2029224";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"CHEMBL3308378";"";""
